Path,CarProfile,Velocity,Translation,Rotation,Head_Z_Acceleration_abs_max,Head_X_Acceleration_abs_max,Head_Y_Acceleration_abs_max,Max_Z_Acceleration,Min_Z_Acceleration,Max_Z_Acceleration_Index,Min_Z_Acceleration_Index
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=400_rot=120_pos=initial.txt,SUV,100,400,120,74.649,143.59,22.527,74.649,-7.299,100,232
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=400_rot=150_pos=initial.txt,SUV,100,400,150,48.03,22.298,26.767,48.03,-6.962,68,36
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=400_rot=180_pos=initial.txt,SUV,100,400,180,90.729,33.308,90.952,90.729,-7.472,56,31
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=400_rot=210_pos=initial.txt,SUV,100,400,210,37.155,62.716,31.224,37.155,-13.381,55,258
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=400_rot=240_pos=initial.txt,SUV,100,400,240,45.362,114.673,69.517,45.362,-24.857,84,91
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=400_rot=270_pos=initial.txt,SUV,100,400,270,66.97,172.271,127.467,66.97,-52.437,45,51
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=400_rot=300_pos=initial.txt,SUV,100,400,300,76.697,120.755,39.699,53.311,-76.697,44,100
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=400_rot=30_pos=initial.txt,SUV,100,400,30,61.418,38.039,45.942,61.418,-33.935,141,147
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=400_rot=330_pos=initial.txt,SUV,100,400,330,38.383,108.526,12.564,38.383,-21.986,51,141
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=400_rot=60_pos=initial.txt,SUV,100,400,60,105.67,128.137,110.398,105.67,-9.535,95,51
