,Path,CarProfile,Velocity,Translation,Rotation,Position,HIC15_max,HIC36_max,Head_Z_Acceleration_abs_max,Head_X_Acceleration_abs_max,Head_Y_Acceleration_abs_max,BrIC_abs_max,Chest_Resultant_Acceleration_max,Chest_Resultant_Acceleration_CLIP3ms_max
480,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=-200_rot=0_pos=initial.txt,MPV,60,-200,0,initial,101.382,129.64,41.222,8.79,30.374,1.035,37.504,34.006
481,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=-200_rot=120_pos=initial.txt,MPV,60,-200,120,initial,60940.317,60940.317,780.402,1180.336,97.546,1.82,118.409,75.519
482,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=-200_rot=150_pos=initial.txt,MPV,60,-200,150,initial,6010.662,6010.662,320.814,338.098,91.674,0.991,46.717,32.24
483,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=-200_rot=180_pos=initial.txt,MPV,60,-200,180,initial,102.934,164.778,37.876,15.939,38.183,0.976,45.922,32.775
484,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=-200_rot=210_pos=initial.txt,MPV,60,-200,210,initial,30442.381,30442.381,237.023,1505.429,97.484,1.818,127.953,88.473
485,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=-200_rot=240_pos=initial.txt,MPV,60,-200,240,initial,14824.898,14824.898,196.033,681.945,41.507,2.011,65.857,48.715
486,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=-200_rot=270_pos=initial.txt,MPV,60,-200,270,initial,32991.99,32991.99,235.592,1090.469,114.519,2.003,138.647,71.135
487,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=-200_rot=300_pos=initial.txt,MPV,60,-200,300,initial,33898.601,33898.601,137.506,1266.827,75.132,2.211,109.871,51.087
488,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=-200_rot=30_pos=initial.txt,MPV,60,-200,30,initial,5381.809,5381.809,362.587,317.947,89.32,1.073,82.205,46.141
489,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=-200_rot=330_pos=initial.txt,MPV,60,-200,330,initial,12764.462,12764.462,211.308,775.195,93.431,1.689,95.437,43.88
490,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=-200_rot=60_pos=initial.txt,MPV,60,-200,60,initial,61490.061,61490.061,610.049,1319.085,57.177,1.799,214.091,74.311
491,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=-200_rot=90_pos=initial.txt,MPV,60,-200,90,initial,99432.563,99432.563,450.468,2091.289,75.032,1.961,392.367,81.519
492,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=-400_rot=0_pos=initial.txt,MPV,60,-400,0,initial,96.302,124.049,41.515,32.088,41.333,0.989,37.849,32.843
493,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=-400_rot=120_pos=initial.txt,MPV,60,-400,120,initial,47882.375,47882.375,322.977,1641.162,139.1,1.656,321.451,80.634
494,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=-400_rot=150_pos=initial.txt,MPV,60,-400,150,initial,17227.03,17227.03,689.983,914.708,258.211,1.374,154.752,52.338
495,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=-400_rot=180_pos=initial.txt,MPV,60,-400,180,initial,93.235,166.278,41.713,9.733,22.652,0.89,55.098,34.078
496,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=-400_rot=210_pos=initial.txt,MPV,60,-400,210,initial,20049.912,20049.912,197.263,1260.975,125.626,1.663,100.146,66.919
497,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=-400_rot=240_pos=initial.txt,MPV,60,-400,240,initial,50194.704,50194.704,284.639,1632.191,151.469,1.539,96.039,43.821
498,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=-400_rot=270_pos=initial.txt,MPV,60,-400,270,initial,34627.308,34627.308,223.588,1505.447,209.191,1.479,45.884,28.975
499,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=-400_rot=300_pos=initial.txt,MPV,60,-400,300,initial,34971.848,34971.848,193.065,1385.051,116.442,1.486,64.508,41.295
500,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=-400_rot=30_pos=initial.txt,MPV,60,-400,30,initial,7074.353,7074.353,393.261,384.383,54.962,1.127,112.732,38.821
501,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=-400_rot=330_pos=initial.txt,MPV,60,-400,330,initial,39883.167,39883.167,683.32,1510.302,170.262,1.853,177.037,56.507
502,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=-400_rot=60_pos=initial.txt,MPV,60,-400,60,initial,9174.567,9174.567,415.062,299.572,89.316,1.683,93.183,52.14
503,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=-400_rot=90_pos=initial.txt,MPV,60,-400,90,initial,10489.464,10489.464,594.698,276.993,34.973,1.86,95.276,59.885
504,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=0_rot=0_pos=initial.txt,MPV,60,0,0,initial,107.306,166.16,40.591,11.397,19.266,0.986,43.125,34.385
505,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=0_rot=120_pos=initial.txt,MPV,60,0,120,initial,83426.194,83426.194,322.708,2179.875,203.752,1.775,472.22,125.829
506,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=0_rot=150_pos=initial.txt,MPV,60,0,150,initial,6715.047,6715.047,360.873,328.584,87.314,1.092,75.49,41.553
507,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=0_rot=180_pos=initial.txt,MPV,60,0,180,initial,101.112,153.825,40.33,11.058,29.11,1.027,43.149,32.499
508,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=0_rot=210_pos=initial.txt,MPV,60,0,210,initial,8105.8,8105.8,258.171,761.469,94.343,1.541,74.019,39.284
