Id,Path,CarProfile,Velocity,Translation,Rotation,GifPath,Head_Collision_XYZ_index,Head_Collision_X,Head_Collision_Y,Head_Collision_Z,Front_Height,Hood_Front_Width,Hood_Back_Width,Hood_Length,Hood_Angle,Windscreen_Length,Windscreen_Angle
58,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=120_pos=initial.txt,FCR,20,-200,120,,112,187.129,-209.017,1031.386,770,1160,1460,1070,11.0,816,30
59,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=150_pos=initial.txt,FCR,20,-200,150,,130,381.649,-284.211,1042.185,770,1160,1460,1070,11.0,816,30
60,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=180_pos=initial.txt,FCR,20,-200,180,,151,887.99,-166.03,997.802,770,1160,1460,1070,11.0,816,30
61,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=210_pos=initial.txt,FCR,20,-200,210,,112,244.197,-54.495,1026.472,770,1160,1460,1070,11.0,816,30
62,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=240_pos=initial.txt,FCR,20,-200,240,,106,107.821,-110.092,1016.639,770,1160,1460,1070,11.0,816,30
63,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=270_pos=initial.txt,FCR,20,-200,270,,100,154.909,-157.628,970.346,770,1160,1460,1070,11.0,816,30
64,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=300_pos=initial.txt,FCR,20,-200,300,,106,106.237,-185.46,1012.27,770,1160,1460,1070,11.0,816,30
65,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=30_pos=initial.txt,FCR,20,-200,30,,121,350.454,-53.027,1036.59,770,1160,1460,1070,11.0,816,30
66,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=330_pos=initial.txt,FCR,20,-200,330,C:\Users\geork\projects\AIThesis\src\gifs\Q2_Type=FCR_Vel=20_tra=-200_rot=330_pos=initial.metadb.gif,114,252.56,-252.309,1029.179,770,1160,1460,1070,11.0,816,30
67,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=60_pos=initial.txt,FCR,20,-200,60,,112,200.67,-65.066,1031.866,770,1160,1460,1070,11.0,816,30
