FCR_VelPath,CarProfile,Velocity,Translation,Rotation,Head_Z_Acceleration_abs_max,Head_X_Acceleration_abs_max,Head_Y_Acceleration_abs_max,Head_X_Acceleration_max_index,Head_Y_Acceleration_max_index,Head_Z_Acceleration_max_index,MaxAccel,MaxAccelIndex
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=120_pos=initial.txt,FCR,20,-200,120,93.625,131.223,46.987,112,111,111,167.72771042078884,111
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=150_pos=initial.txt,FCR,20,-200,150,70.979,71.046,56.976,130,130,141,99.95165037656957,130
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=180_pos=initial.txt,FCR,20,-200,180,35.712,10.098,24.598,191,151,68,36.483723549001965,68
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=210_pos=initial.txt,FCR,20,-200,210,31.248,117.873,14.69,112,164,69,118.23933295650818,112
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=240_pos=initial.txt,FCR,20,-200,240,52.973,135.999,9.252,106,118,115,137.25309418005847,106
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=270_pos=initial.txt,FCR,20,-200,270,96.877,414.354,17.142,100,103,106,417.1659999580503,100
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=300_pos=initial.txt,FCR,20,-200,300,71.408,115.846,14.292,111,129,114,116.27557258943084,111
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=30_pos=initial.txt,FCR,20,-200,30,60.901,123.798,61.865,121,121,121,151.20236383734218,121
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=330_pos=initial.txt,FCR,20,-200,330,42.51,100.687,35.992,114,114,146,106.93343786206445,114
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=60_pos=initial.txt,FCR,20,-200,60,103.579,150.703,14.953,112,110,111,172.55559212613193,112
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=90_pos=initial.txt,FCR,20,-200,90,151.774,228.091,32.319,114,106,114,273.99536667250413,114
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-400_rot=0_pos=initial.txt,FCR,20,-400,0,42.021,17.028,30.581,147,147,70,42.451484909246695,70
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-400_rot=120_pos=initial.txt,FCR,20,-400,120,95.474,142.538,38.145,116,117,116,174.7273068097829,116
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-400_rot=150_pos=initial.txt,FCR,20,-400,150,56.088,67.812,55.599,133,133,138,95.61546378070861,133
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-400_rot=180_pos=initial.txt,FCR,20,-400,180,36.592,14.357,31.916,188,188,67,38.25310545563588,67
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-400_rot=210_pos=initial.txt,FCR,20,-400,210,28.576,111.973,23.417,116,124,68,113.34355181482536,116
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-400_rot=240_pos=initial.txt,FCR,20,-400,240,42.157,131.17,28.074,109,121,119,132.9325134683009,109
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-400_rot=270_pos=initial.txt,FCR,20,-400,270,61.985,218.433,107.371,110,111,113,242.7259411620439,110
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-400_rot=300_pos=initial.txt,FCR,20,-400,300,35.585,99.598,37.1,110,122,101,100.07980621983637,110
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-400_rot=30_pos=initial.txt,FCR,20,-400,30,66.795,104.7,23.105,120,120,132,121.02136651847887,120
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-400_rot=330_pos=initial.txt,FCR,20,-400,330,45.514,115.294,48.56,117,117,121,125.27689509642231,117
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-400_rot=60_pos=initial.txt,FCR,20,-400,60,91.937,169.282,16.704,116,119,119,188.9469964990182,116
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-400_rot=90_pos=initial.txt,FCR,20,-400,90,107.259,203.81,28.138,111,111,111,232.0231803613596,111
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=0_rot=0_pos=initial.txt,FCR,20,0,0,37.034,10.926,17.37,195,162,70,37.767286757192394,70
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=0_rot=120_pos=initial.txt,FCR,20,0,120,94.699,144.387,19.98,112,112,111,168.94433029255526,112
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=0_rot=150_pos=initial.txt,FCR,20,0,150,67.151,88.873,62.872,124,124,134,120.71179821790412,124
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=0_rot=180_pos=initial.txt,FCR,20,0,180,39.319,10.496,15.658,193,157,66,40.2204995742221,66
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=0_rot=210_pos=initial.txt,FCR,20,0,210,38.816,120.603,37.779,112,112,117,127.26722523493626,112
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=0_rot=240_pos=initial.txt,FCR,20,0,240,41.583,116.851,12.161,106,199,172,118.17267536533139,106
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=0_rot=270_pos=initial.txt,FCR,20,0,270,63.85,218.754,7.003,103,296,97,227.5482038733771,103
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=0_rot=300_pos=initial.txt,FCR,20,0,300,55.916,149.472,10.635,106,190,115,151.74060827609728,106
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=0_rot=30_pos=initial.txt,FCR,20,0,30,84.705,87.841,67.733,127,127,137,120.96463163255613,127
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=0_rot=330_pos=initial.txt,FCR,20,0,330,36.129,123.659,25.863,112,115,117,123.99758637167096,112
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=0_rot=60_pos=initial.txt,FCR,20,0,60,107.089,166.92,25.156,111,110,111,199.69475187145002,111
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=0_rot=90_pos=initial.txt,FCR,20,0,90,259.699,312.283,21.368,114,114,114,406.71960133979286,114
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=200_rot=0_pos=initial.txt,FCR,20,200,0,35.261,10.19,25.315,192,160,64,35.78158494253714,64
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=200_rot=120_pos=initial.txt,FCR,20,200,120,107.871,188.096,20.339,111,121,111,217.01695868526036,111
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=200_rot=150_pos=initial.txt,FCR,20,200,150,60.542,116.035,44.978,122,122,123,137.92773648907604,122
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=200_rot=180_pos=initial.txt,FCR,20,200,180,39.684,14.412,31.049,251,142,68,40.042459914445814,68
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=200_rot=210_pos=initial.txt,FCR,20,200,210,65.115,103.435,44.299,116,116,146,113.44387209100366,116
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=200_rot=240_pos=initial.txt,FCR,20,200,240,91.601,399.885,18.934,106,112,109,399.9718393062191,106
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=200_rot=270_pos=initial.txt,FCR,20,200,270,57.317,708.411,261.268,103,103,111,756.5209327136956,103
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=200_rot=300_pos=initial.txt,FCR,20,200,300,57.143,131.184,25.214,107,118,116,133.0535362701796,107
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=200_rot=30_pos=initial.txt,FCR,20,200,30,81.203,85.048,72.508,129,130,141,118.51806134509626,129
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=200_rot=330_pos=initial.txt,FCR,20,200,330,31.58,117.448,18.451,115,120,126,117.55265159068084,115
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=200_rot=60_pos=initial.txt,FCR,20,200,60,99.525,154.839,37.85,113,113,116,177.2727250481585,113
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=200_rot=90_pos=initial.txt,FCR,20,200,90,166.025,288.205,20.149,116,116,116,333.21525302872914,116
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=0_pos=initial.txt,FCR,20,400,0,38.938,15.144,31.093,153,151,70,39.815043639308,70
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=120_pos=initial.txt,FCR,20,400,120,118.444,214.863,45.582,119,118,119,248.71058815619412,119
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=150_pos=initial.txt,FCR,20,400,150,67.066,101.651,16.041,122,126,128,111.16566144722928,122
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=180_pos=initial.txt,FCR,20,400,180,40.91,13.882,26.236,253,156,72,41.16090286910626,72
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=210_pos=initial.txt,FCR,20,400,210,47.783,105.247,52.886,120,120,125,118.1136871027232,120
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=240_pos=initial.txt,FCR,20,400,240,40.413,115.682,61.449,113,123,105,118.82274836494904,113
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=270_pos=initial.txt,FCR,20,400,270,66.603,138.406,42.606,111,116,121,139.7821855817114,111
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=300_pos=initial.txt,FCR,20,400,300,43.575,245.114,100.05,116,116,103,265.41766590978835,116
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=30_pos=initial.txt,FCR,20,400,30,74.819,65.959,65.288,133,133,146,100.5274880318811,133
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=330_pos=initial.txt,FCR,20,400,330,62.207,123.796,36.35,119,119,131,129.02789524750065,119
