Path,CarProfile,Velocity,Translation,Rotation,Head_Z_Acceleration_abs_max,Head_X_Acceleration_abs_max,Head_Y_Acceleration_abs_max,Head_X_Acceleration_max_index,Head_Y_Acceleration_max_index,Head_Z_Acceleration_max_index,Max_Z_Acceleration,Min_Z_Acceleration,Max_Z_Acceleration_Index,Min_Z_Acceleration_Index
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=-400_rot=120_pos=initial.txt,FCR,60,-400,120,114.301,149.286,36.056,116,116,132,114.301,-10.456,132,255
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=-400_rot=150_pos=initial.txt,FCR,60,-400,150,80.545,81.232,71.656,130,130,141,80.545,-15.637,141,154
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=-400_rot=180_pos=initial.txt,FCR,60,-400,180,37.493,13.763,30.789,148,148,71,37.493,-14.375,71,213
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=-400_rot=210_pos=initial.txt,FCR,60,-400,210,44.824,117.957,22.49,116,124,128,27.696,-44.824,68,128
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=-400_rot=240_pos=initial.txt,FCR,60,-400,240,40.137,122.838,28.598,113,119,148,40.137,-39.205,148,280
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=-400_rot=270_pos=initial.txt,FCR,60,-400,270,53.747,208.052,42.577,107,107,113,53.747,-45.68,113,107
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=-400_rot=300_pos=initial.txt,FCR,60,-400,300,39.839,107.938,41.465,110,115,123,39.839,-13.768,123,106
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=-400_rot=30_pos=initial.txt,FCR,60,-400,30,69.594,144.101,35.549,119,118,120,69.594,-9.401,120,232
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=-400_rot=330_pos=initial.txt,FCR,60,-400,330,36.885,113.919,50.762,117,117,123,36.885,-34.753,123,127
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=-400_rot=60_pos=initial.txt,FCR,60,-400,60,94.968,157.574,9.669,116,117,115,94.968,-7.545,115,137
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=-400_rot=90_pos=initial.txt,FCR,60,-400,90,113.891,211.966,39.852,110,111,110,113.891,-28.1,110,128
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=0_rot=0_pos=initial.txt,FCR,60,0,0,38.28,10.41,21.66,192,151,63,38.28,-13.088,63,210
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=0_rot=120_pos=initial.txt,FCR,60,0,120,95.175,164.465,22.188,111,111,111,95.175,-10.959,111,166
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=0_rot=150_pos=initial.txt,FCR,60,0,150,59.791,99.655,62.693,124,124,127,59.791,-11.701,127,236
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=0_rot=180_pos=initial.txt,FCR,60,0,180,37.825,8.38,31.19,56,152,68,37.825,-13.481,68,211
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=0_rot=210_pos=initial.txt,FCR,60,0,210,57.052,122.164,36.638,112,116,144,57.052,-18.372,144,154
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=0_rot=240_pos=initial.txt,FCR,60,0,240,71.315,151.103,13.726,105,138,114,35.659,-71.315,96,114
